"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00025331","PALMER AIRPORT, AK US","1997-12-16",,,,,"-1",",,M","-14",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-17",,,,,"11",",,M","-6",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-18",,,,,"34",",,M","-2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-19",,,,,"33",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-20",,,,,"19",",,M","3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-21",,,,,"8",",,M","-4",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-22",,,,,"20",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-23",,,,,"40",",,M","16",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-24",,,,,"40",",,M","24",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-25",,,,,"29",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-26",,,,,"27",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-27",,,,,"18",",,M","6",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-28",,,,,"25",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-29",,,,,"21",",,M","-4",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-30",,,,,"7",",,M","-11",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-31",,,,,"0",",,M","-10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-01",,,,,"11",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-02",,,,,"12",",,M","-5",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-03",,,,,"1",",,M","-15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-04",,,,,"13",",,M","-6",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-05",,,,,"1",",,M","-12",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-06",,,,,"7",",,M","-13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-07",,,,,"18",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-08",,,,,"24",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-09",,,,,"28",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-10",,,,,"28",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-11",,,,,"24",",,M","8",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-12",,,,,"14",",,M","-5",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-13",,,,,"24",",,M","-2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-14",,,,,"19",",,M","11",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-15",,,,,"22",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-16",,,,,"22",",,M","7",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-17",,,,,"28",",,M","11",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-18",,,,,"22",",,M","9",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-19",,,,,"17",",,M","8",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-20",,,,,"18",",,M","6",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-21",,,,,"27",",,M","6",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-22",,,,,"29",",,M","9",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-23",,,,,"24",",,M","4",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-24",,,,,"10",",,M","0",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-25",,,,,"17",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-26",,,,,"20",",,M","8",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-27",,,,,"32",",,M","8",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-28",,,,,"41",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-29",,,,,"30",",,M","14",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-30",,,,,"38",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-01-31",,,,,"37",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-01",,,,,"38",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-02",,,,,"41",",,M","21",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-03",,,,,"39",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-04",,,,,"36",",,M","30",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-05",,,,,"36",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-06",,,,,"35",",,M","16",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-07",,,,,"28",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-08",,,,,"32",",,M","9",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-09",,,,,"36",",,M","23",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-10",,,,,"39",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-11",,,,,"40",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-12",,,,,"32",",,M","17",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-13",,,,,"26",",,M","7",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-14",,,,,"19",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-15",,,,,"21",",,M","4",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-16",,,,,"22",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-17",,,,,"37",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-18",,,,,"36",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-19",,,,,"35",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-20",,,,,"33",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-21",,,,,"33",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-22",,,,,"33",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-23",,,,,"39",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-24",,,,,"43",",,M","28",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-25",,,,,"37",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-26",,,,,"33",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-27",,,,,"30",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-02-28",,,,,"25",",,M","3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-01",,,,,"24",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-02",,,,,"23",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-03",,,,,"20",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-04",,,,,"22",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-05",,,,,"27",",,M","1",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-06",,,,,"27",",,M","3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-07",,,,,"38",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-08",,,,,"33",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-09",,,,,"34",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-10",,,,,"34",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-11",,,,,"35",",,M","11",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-12",,,,,"45",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-13",,,,,"45",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-14",,,,,"44",",,M","34",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-15",,,,,"44",",,M","33",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-16",,,,,"43",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-17",,,,,"43",",,M","37",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-18",,,,,"46",",,M","38",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-19",,,,,"48",",,M","35",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-20",,,,,"50",",,M","34",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-21",,,,,"49",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-22",,,,,"45",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-23",,,,,"47",",,M","33",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-24",,,,,"47",",,M","29",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-25",,,,,"46",",,M","29",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-26",,,,,"36",",,M","32",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-27",,,,,"37",",,M","30",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-28",,,,,"41",",,M","28",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-29",,,,,"44",",,M","33",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-30",,,,,"37",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-03-31",,,,,"38",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1998-04-01","0.00","T,,W,",,,"48",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-02","0.00",",,W,",,,"41",",,W","24",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-03","0.00","T,,W,",,,"42",",,W","36",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-04","0.00","T,,W,",,,"42",",,W","33",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-05","0.00",",,W,",,,"50",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-06","0.00",",,W,",,,"50",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-07","0.00",",,W,",,,"48",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-08","0.00","T,,W,",,,"47",",,W","28",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-09","0.00",",,W,",,,"48",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-10","0.00",",,W,",,,"44",",,W","35",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-11","0.00","T,,W,",,,"40",",,W","29",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-12","0.00","T,,W,",,,"45",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-13","0.00",",,W,",,,"45",",,W","28",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-14","0.00","T,,W,",,,"44",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-15","0.00",",,W,",,,"47",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-16","0.00",",,W,",,,"50",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-17","0.00","T,,W,",,,"52",",,W","34",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-18","0.00",",,W,",,,"49",",,W","33",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-19","0.00",",,W,",,,"51",",,W","35",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-20","0.00","T,,W,",,,"53",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-21","0.00",",,W,",,,"53",",,W","26",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-22","0.00",",,W,",,,"53",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-23","0.00",",,W,",,,"55",",,W","29",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-24","0.00",",,W,",,,"60",",,W","29",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-25","0.00",",,W,",,,"58",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-26","0.00",",,W,",,,"55",",,W","30",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-27","0.00","T,,W,",,,"49",",,W","40",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-28","0.00","T,,W,",,,"43",",,W","34",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-29","0.00","T,,W,",,,"39",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-04-30","0.00",",,W,",,,"47",",,W","33",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-01","0.00","T,,W,",,,"50",",,W","35",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-02","0.00","T,,W,",,,"48",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-03","0.00","T,,W,",,,"44",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-04","0.11",",,W,",,,"53",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-05","0.00",",,W,",,,"51",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-06","0.00","T,,W,",,,"48",",,W","36",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-07","0.00",",,W,",,,"53",",,W","33",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-08","0.00",",,W,",,,"48",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-09","0.00","T,,W,",,,"48",",,W","35",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-10","0.00","T,,W,",,,"51",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-11","0.00",",,W,",,,"51",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-12","0.00",",,W,",,,"53",",,W","31",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-13","0.00","T,,W,",,,"51",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-14",,,,,"57",",,W","32",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-15",,,,,"53",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-16",,,,,"55",",,W","42",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-17",,,,,"59",",,W","35",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-18",,,,,"51",",,W","45",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-19",,,,,"51",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-20",,,,,"51",",,W","36",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-21","0.00",",,W,",,,"52",",,W","39",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-22","0.00","T,,W,",,,"53",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-23","0.00",",,W,",,,"56",",,W","38",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-24","0.00",",,W,",,,"60",",,W","37",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-25","0.00","T,,W,",,,"66",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-26","0.00","T,,W,",,,"62",",,W","40",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-27","0.00","T,,W,",,,"65",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-28","0.00","T,,W,",,,"64",",,W","44",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-29","0.00",",,W,",,,"70",",,W","49",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-30","0.00","T,,W,",,,"62",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-05-31","0.00","T,,W,",,,"55",",,W","44",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-01","0.00","T,,W,",,,"54",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-02","0.00","T,,W,",,,"59",",,W","43",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-03","0.00",",,W,",,,"66",",,W","45",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-04","0.00","T,,W,",,,"53",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-05","0.00","T,,W,",,,"59",",,W","48",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-06","0.02",",,W,",,,"60",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-07","0.08",",,W,",,,"61",",,W","50",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-08","0.00",",,W,",,,"61",",,W","50",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-09","0.03",",,W,",,,"57",",,W","44",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-10","0.09",",,W,",,,"57",",,W","44",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-11","0.00","T,,W,",,,"57",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-12","0.10",",,W,",,,"54",",,W","43",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-13","0.02",",,W,",,,"58",",,W","44",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-14","0.01",",,W,",,,"61",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-15","0.01",",,W,",,,"68",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-16","0.03",",,W,",,,"69",",,W","46",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-17","0.00",",,W,",,,"70",",,W","46",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-18","0.00",",,W,",,,"74",",,W","46",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-19","0.07",",,W,",,,"65",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-20","0.01",",,W,",,,"55",",,W","46",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-21","0.61",",,W,",,,"49",",,W","43",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-22","0.01",",,W,",,,"64",",,W","41",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-23","0.00",",,W,",,,"67",",,W","45",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-24","0.31",",,W,",,,"55",",,W","50",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-25","0.00",",,W,",,,"66",",,W","50",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-26","0.00",",,W,",,,"69",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-27","0.00",",,W,",,,"69",",,W","49",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-28","0.00",",,W,",,,"68",",,W","51",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-29","0.00",",,W,",,,"69",",,W","48",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-06-30","0.00",",,W,",,,"76",",,W","47",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-01","0.00","T,,W,",,,"67",",,W","53",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-02","0.00","T,,W,",,,"61",",,W","51",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-03","0.00","T,,W,",,,"68",",,W","52",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-04","0.00","T,,W,",,,"71",",,W","54",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-05","0.15",",,W,",,,"68",",,W","50",",,W"
"USW00025331","PALMER AIRPORT, AK US","1998-07-06","0.21",",,W,",,,"61",",,W","50",",,W"
